Source	Description	ID	Units	Analyzed timeframe 	Resolution	Source	Category
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Topsoil silt fraction	HWSD_Topsoil_silt_fraction	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Topsoil_sand_fraction	HWSD_Topsoil_sand_fraction	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Topsoil organic carbon	HWSD_Topsoil_organic_carbon	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Topsoil pH	HWSD_Topsoil_pH	#-log(H+)	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Subsoil reference bulk density	HWSD_Subsoil_ref_bulk_dens	kg/dm3	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Subsoil clay fraction	HWSD_Subsoil_clay_fraction	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Subsoil gravel content	HWSD_Subsoil_gravel_content	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Subsoil silt fraction	HWSD_Subsoil_silt_fraction	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Subsoil sand fraction	HWSD_Subsoil_sand_fraction	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Subsoil organic carbon	HWSD_Subsoil_organic_carbon	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Subsoil pH	HWSD_Subsoil_pH	#-log(H+)	2009	30 arc-second	Soil survey	Edaphic
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE)	ISRIC WISE Soil carbonate carbon density 	ISRIC_WISE_SoilCarbonate_Carbon_Dens	kg C/m**2 for 0-100cm depth range	2000	0.5°	Soil survey	Edaphic
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE)	ISRIC WISE  Soil organic carbon density  (0-30 cm depth range)	ISRIC_WISE_Soil_Org_Carbon_Dens	 kg C/m**2 for 0-100cm depth range	2000	0.5°	Soil survey	Edaphic
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE)	ISRIC WISE  Soil pH (0-30 cm depth range)	ISRIC_WISE_Soil_pH	 0-30 cm depth range	2000	0.5°	Soil survey	Edaphic
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE)	ISRIC WISE  Total available water capacity 	ISRIC_WISE_Total_AvailWater_cap	mm water per 1 m soil depth	2000	0.5°	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids absolute depth to bedrock	SoilGrids_BDRICM	cm	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids bulk density	SoilGrids_BLDFIE	kg/m3	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids cation exchange capacity of soil	SoilGrids_CECSOL	meq/100 g	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids clay content	SoilGrids_CLYPPT	%	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids course fragments volumetric	SoilGrids_CRFVOL	%	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids soil organic carbon stock per ha	SoilGrids_OCSTHA	kg/m3	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids soil organic carbon content	SoilGrids_ORCDRC	‰	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids soil pH H2O	SoilGrids_PHIHOX	#-log(H+)	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids soil pH KCL	SoilGrids_PHIKCL	#-log(H+)	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids silt content	SoilGrids_SLTPPT	%	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids sand content	SoilGrids_SNDPPT	%	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids observed taxonomic class in the WRB system	SoilGrids_TAXNWRB	Qualitative	2012–2016	250 m	Soil survey	Edaphic
ISRIC_Soilgrids	SoilGrids observed taxonomic class in the USDA system	SoilGrids_TAXOUSDA	Qualitative	2012–2016	250 m	Soil survey	Edaphic
FAO_Global_Agro-ecological_Zones_Assessment_for_Agriculture_(GAEZ_2008)	FAO GAEZ Nutrient availability	GAEZ_Nutrient_availability	1: No or slight limitations	2008	30 arc-second	Soil survey	Edaphic
FAO_Global_Agro-ecological_Zones_Assessment_for_Agriculture_(GAEZ_2008)	FAO GAEZ Nutrient retention capacity	GAEZ_Nutrient_retention_capacity	2: Moderate limitations	2008	30 arc-second	Soil survey	Edaphic
FAO_Global_Agro-ecological_Zones_Assessment_for_Agriculture_(GAEZ_2008)	FAO GAEZ  Rooting conditions	GAEZ_Rooting_conditions	3: Sever limitations	2008	30 arc-second	Soil survey	Edaphic
FAO_Global_Agro-ecological_Zones_Assessment_for_Agriculture_(GAEZ_2008)	FAO GAEZ Oxygen availability to roots	GAEZ_Oxygen_availability_to_roots	4: Very severe limitations	2008	30 arc-second	Soil survey	Edaphic
FAO_Global_Agro-ecological_Zones_Assessment_for_Agriculture_(GAEZ_2008)	FAO GAEZ Excess salts	GAEZ_Excess_salts	5: Mainly non-soil	2008	30 arc-second	Soil survey	Edaphic
FAO_Global_Agro-ecological_Zones_Assessment_for_Agriculture_(GAEZ_2008)	FAO GAEZ Toxicity	GAEZ_Toxicity	6: Permafrost area	2008	30 arc-second	Soil survey	Edaphic
Global_Distribution_of_Plant-Extractable_Water_Capacity_of_Soil	Global Distribution of Plant-Extractable Water Capacity of Soil	Plant_Extractable_Water_Capacity_of_Soil	cm water per cm soil	1996	0.5°	Soil survey	Edaphic
Nelson_institute_Atlas of the Biosphere 	IGBP-DIS Soil pH	IGBP_DIS_Soil_pH	#-log(H+)	1998	0.5°	Soil survey	Edaphic
Nelson_institute_Atlas of the Biosphere 	Suitability for Agriculture	Suitability_for_Agriculture	Index	2001	0.5°	Environmental classification	Environmental classification
Nelson_institute_Atlas of the Biosphere 	CRU Growing degree-days above 5 °C	Growing_degree_days	days	1961-1990 	0.5°	Climate stations	Productivity
NASAs Ocean Biology Processing Group	GSHHG distance to the coast	GMT_intermediate_coast_distance	Km	1996	0.01°	Environmental classification	Environmental classification
Bailey Ecoregions	Bailey Ecoregions Map of the Continents	Bailey_ecoregions	Qualitative	1960-1980	0.5°	Environmental classification	Environmental classification
IFORCE_Global_land_cover_2000	Global and Regional Land Cover Maps 2000	Land_cover_2000	Qualitative	1998-2000	250 m	Environmental classification	Environmental classification
ISLSCP II UNIVERSITY OF MARYLAND GLOBAL LAND COVER CLASSIFICATIONS	UMD Land cover classification	UMD_Land_cover_classification	Qualitative	1992-1993	0.5°	Environmental classification	Environmental classification
Global Distribution of Cultivation Intensity	Global Distribution of Cultivation Intensity	Distribution_of_Cultivation_Intensity	Qualitative	1983	1°	Environmental classification	Environmental classification
Koppen-Geiger climate classification	World map of the Koppen-Geiger climate classification	Koppen_Geiger	Qualitative	2007	0.1°	Environmental classification	Environmental classification
Geological ages based on the surface geology	Geological ages based on the surface geology	Geological_ages	Qualitative	1960-2000		Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	EMEP_dry_HNO3andNO3_annual_mean_with_HNO3_Vd	EMEP_dry_HNO3andNO3_annual_mean_with_HNO3_Vd	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	EMEP_dry_HNO3+NO3_annual_mean_with_NO3_Vd	EMEP_dry_HNO3+NO3_annual_mean_with_NO3_Vd	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	EMEP_dry_NH4_annual_mean_with_particulate_Vd	EMEP_dry_NH4_annual_mean_with_particulate_Vd	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	EMEP_dry_NO2_annual_mean_with_NO2_Vd	EMEP_dry_NO2_annual_mean_with_NO2_Vd	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	EMEP_wet_NH4_annual_mean	EMEP_wet_NH4_annual_mean	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	EMEP_wet_NO3_annual	EMEP_wet_NO3_annual	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	NADP_wet_NH4_annual_mean	NADP_wet_NH4_annual_mean	KgN/ha/yr	1978-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	NADP_wet_NO3_annual_mean	NADP_wet_NO3_annual_mean	KgN/ha/yr	1978-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	NDDN_dry_HNO3_annual_mean_with_HNO3_Vd	NDDN_dry_HNO3_annual_mean_with_HNO3_Vd	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	NDDN_dry_NH4_annual_mean_with_Particulate_Vd	NDDN_dry_NH4_annual_mean_with_Particulate_Vd	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
Nitrogen Deposition onto the United States and Western Europe	NDDN_dry_NO3_annual_mean_with_NO3_Vd	NDDN_dry_NO3_annual_mean_with_NO3_Vd	KgN/ha/yr	1989-1994	0.5°	Soil survey	Edaphic
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s_BIO1_=_Annual__temperature:_maximum	MERRAclimmax_80s_bio1	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO2_=_Mean_diurnal_range:_maximum	MERRAclimmax_80s_bio2	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO3_=_Isothermality:_maximum	MERRAclimmax_80s_bio3	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO4_=_Temperature_seasonality:_maximum	MERRAclimmax_80s_bio4	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO5_=_Max_temperature_of_warmest_month:_maximum	MERRAclimmax_80s_bio5	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO6_=_Min_temperature_of_coldest_month:_maximum	MERRAclimmax_80s_bio6	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO7_=_Temperature_annual_range:_maximum	MERRAclimmax_80s_bio7	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO8_=_Mean_temperature_of_wettest_quarter:_maximum	MERRAclimmax_80s_bio8	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO9_=_Mean_temperature_of_driest_quarter:_maximum	MERRAclimmax_80s_bio9	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO10_=_Mean_temperature_of_warmest_quarter:_maximum	MERRAclimmax_80s_bio10	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO11_=_Mean_temperature_of_coldest_quarter:_maximum	MERRAclimmax_80s_bio11	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO12_=_Annual_precipitation:_maximum	MERRAclimmax_80s_bio12	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO13_=_Precipitation_of_wettest_month:_maximum	MERRAclimmax_80s_bio13	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO14_=_Precipitation_of_driest_month:_maximum	MERRAclimmax_80s_bio14	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_maximum	MERRAclimmax_80s_bio15	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO16_=_Precipitation_of_wettest_quarter:_maximum	MERRAclimmax_80s_bio16	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO17_=_Precipitation_of_driest_quarter:_maximum	MERRAclimmax_80s_bio17	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO18_=_Precipitation_of_warmest_quarter:_maximum	MERRAclimmax_80s_bio18	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO19_=_Precipitation_of_coldest_quarter:_maximum	MERRAclimmax_80s_bio19	kg of water/kg of air	1980-1989	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s_BIO1_=_Annual_temperature:_maximum	MERRAclimmax_90s_bio1	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO2_=_Mean_diurnal_range:_maximum	MERRAclimmax_90s_bio2	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO3_=_Isothermality:_maximum	MERRAclimmax_90s_bio3	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO4_=_Temperature_seasonality:_maximum	MERRAclimmax_90s_bio4	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO5_=_Max_temperature_of_warmest_month:_maximum	MERRAclimmax_90s_bio5	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO6_=_Min_temperature_of_coldest_month:_maximum	MERRAclimmax_90s_bio6	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO7_=_Temperature_annual_range:_maximum	MERRAclimmax_90s_bio7	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO8_=_Mean_temperature_of_wettest_quarter:_maximum	MERRAclimmax_90s_bio8	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO9_=_Mean_temperature_of_driest_quarter:_maximum	MERRAclimmax_90s_bio9	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO10_=_Mean_temperature_of_warmest_quarter:_maximum	MERRAclimmax_90s_bio10	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO11_=_Mean_temperature_of_coldest_quarter:_maximum	MERRAclimmax_90s_bio11	Celsius	1990-1999	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO12_=_Annual_precipitation:_maximum	MERRAclimmax_90s_bio12	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO13_=_Precipitation_of_wettest_month:_maximum	MERRAclimmax_90s_bio13	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO14_=_Precipitation_of_driest_month:_maximum	MERRAclimmax_90s_bio14	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_maximum	MERRAclimmax_90s_bio15	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO16_=_Precipitation_of_wettest_quarter:_maximum	MERRAclimmax_90s_bio16	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO17_=_Precipitation_of_driest_quarter:_maximum	MERRAclimmax_90s_bio17	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO18_=_Precipitation_of_warmest_quarter:_maximum	MERRAclimmax_90s_bio18	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1990s__BIO19_=_Precipitation_of_coldest_quarter:_maximum	MERRAclimmax_90s_bio19	kg of water/kg of air	1990-1999	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s_BIO1_=_Annual__temperature:_maximum	MERRAclimmax_00s_bio1	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO2_=_Mean_diurnal_range:_maximum	MERRAclimmax_00s_bio2	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO3_=_Isothermality:_maximum	MERRAclimmax_00s_bio3	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO4_=_Temperature_seasonality:_maximum	MERRAclimmax_00s_bio4	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO5_=_Max_temperature_of_warmest_month:_maximum	MERRAclimmax_00s_bio5	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO6_=_Min_temperature_of_coldest_month:_maximum	MERRAclimmax_00s_bio6	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO7_=_Temperature_annual_range:_maximum	MERRAclimmax_00s_bio7	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO8_=_Mean_temperature_of_wettest_quarter:_maximum	MERRAclimmax_00s_bio8	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO9_=_Mean_temperature_of_driest_quarter:_maximum	MERRAclimmax_00s_bio9	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO10_=_Mean_temperature_of_warmest_quarter:_maximum	MERRAclimmax_00s_bio10	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO11_=_Mean_temperature_of_coldest_quarter:_maximum	MERRAclimmax_00s_bio11	Celsius	2000-2009	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO12_=_Annual_precipitation:_maximum	MERRAclimmax_00s_bio12	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO13_=_Precipitation_of_wettest_month:_maximum	MERRAclimmax_00s_bio13	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO14_=_Precipitation_of_driest_month:_maximum	MERRAclimmax_00s_bio14	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO15_=_Precipitation_seasonality_(coefficient_of_variation):_maximum	MERRAclimmax_00s_bio15	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO16_=_Precipitation_of_wettest_quarter:_maximum	MERRAclimmax_00s_bio16	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO17_=_Precipitation_of_driest_quarter:_maximum	MERRAclimmax_00s_bio17	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO18_=_Precipitation_of_warmest_quarter:_maximum	MERRAclimmax_00s_bio18	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_2000s__BIO19_=_Precipitation_of_coldest_quarter:_maximum	MERRAclimmax_00s_bio19	kg of water/kg of air	2000-2009	2.5 arc-minutes	Satellite	Precipitation
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s_BIO1_=_Annual__temperature:_mean	MERRAclimmean_80s_bio1	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO4_=_Temperature_seasonality:_mean	MERRAclimmean_80s_bio2	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO5_=_Max_temperature_of_warmest_month:_mean	MERRAclimmean_80s_bio3	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO6_=_Min_temperature_of_coldest_month:_mean	MERRAclimmean_80s_bio4	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO7_=_Temperature_annual_range:_mean	MERRAclimmean_80s_bio5	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO8_=_Mean_temperature_of_wettest_quarter:_mean	MERRAclimmean_80s_bio6	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO9_=_Mean_temperature_of_driest_quarter:_mean	MERRAclimmean_80s_bio7	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
MERRAclim:_high-resolution_global_dataset_of_remotely_sensed_bioclimatic_variables_for_ecological_modelling	MerraCLIM_1980s__BIO10_=_Mean_temperature_of_warmest_quarter:_mean	MERRAclimmean_80s_bio8	Celsius	1980-1989	2.5 arc-minutes	Satellite	Temperature
