Source,Description,ID,Units,Link,Analyzed timeframe ,Link,Resolution,Data access,Source,Category,Reference
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas),CHELSA BIO18 = Precipitation of warmest quarter,CHELSA_BIO18,mm,http://chelsa-climate.org/,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,Satellite & climate stations,Precipitation,"Karger, Dirk Nikolaus, et al. ""Climatologies at high resolution for the earth's land surface areas."" arXiv preprint arXiv:1607.00217 (2016)."
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas),CHELSA BIO19 = Precipitation of coldest quarter,CHELSA_BIO19,mm,http://chelsa-climate.org/,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,Satellite & climate stations,Precipitation,"Karger, Dirk Nikolaus, et al. ""Climatologies at high resolution for the earth's land surface areas."" arXiv preprint arXiv:1607.00217 (2016)."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Cloud cover spring,CRU_Cld_spring,%,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Atmospheric,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Cloud cover summer,CRU_Cld_summer,%,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Atmospheric,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Diurnal temperature range spring,CRU_Dtr_spring,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Diurnal temperature range summer,CRU_Dtr_summer,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2007,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Frost day frequency spring,CRU_Frs_spring,days,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2008,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Frost day frequency summer,CRU_Frs_summer,days,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2009,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Precipitation spring,CRU_Pre_spring,mm,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2010,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Precipitation,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Precipitation summer,CRU_Pre_summer,mm,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2011,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Precipitation,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Daily mean temperature spring,CRU_Tmp_spring,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2012,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Daily mean temperature summer,CRU_Tmp_summer,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2013,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Monthly average daily minimum temperature spring,CRU_Tmn_spring,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2014,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Monthly average daily minimum temperature summer,CRU_Tmn_summer,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2015,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Monthly average daily maximum temperature spring,CRU_Tmx_spring,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2016,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Monthly average daily maximum temperature summer,CRU_Tmx_summer,ºC,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2017,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Temperature,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Vapour pressure spring,CRU_Vap_spring,hPa,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2018,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Atmospheric,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Vapour pressure summer,CRU_Vap_summer,hPa,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2019,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Atmospheric,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Wet day frequency spring,CRU_Wet_spring,days,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2020,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Precipitation,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Wet day frequency summer,CRU_Wet_summer,days,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2021,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Precipitation,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Potential evapotranspiration spring,CRU_PET_spring,mm,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2022,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Drought stress,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS,CRU Potential evapotranspiration summer,CRU_PET_summer,mm,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,1901-2023,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,Climate stations,Drought stress,"Harris, I. P. D. J., et al. ""Updated high_resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset."" International Journal of Climatology 34.3 (2014): 623-642."
ETOPO1,Bedrock topography,Bedrock_Topography,meters,https://www.ngdc.noaa.gov/mgg/global/,NA,https://www.ngdc.noaa.gov/mgg/global/,1 arc-minute,1-Dec-16,Satellite,Geography and physical terrain,"Amante, Christopher, and Barry W. Eakins. ETOPO1 1 arc-minute global relief model: procedures, data sources and analysis. Colorado: US Department of Commerce, National Oceanic and Atmospheric Administration, National Environmental Satellite, Data, and Information Service, National Geophysical Data Center, Marine Geology and Geophysics Division, 2009."
FAO_World_maps_of_climatological_net_primary_production_of_biomass,FAO Sensitivity of NPP with respect to changes in annual mean Precipitation dNPP/dT,FAO_dNPPdP,g/m2/mm,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,Climate stations,Productivity,"Grieser, Jürgen, et al. ""World maps of climatological net primary production of biomass, NPP."" Viale delle Terme di Caracalla 153 (2006)."
FAO_World_maps_of_climatological_net_primary_production_of_biomass,FAO Sensitivity of NPP with respect to changes in annual mean temperature dNPP/dT,FAO_dNPPdT,g/m2/ºC,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,Climate stations,Productivity,"Grieser, Jürgen, et al. ""World maps of climatological net primary production of biomass, NPP."" Viale delle Terme di Caracalla 153 (2006)."
FAO_World_maps_of_climatological_net_primary_production_of_biomass,FAO NPP based on CRU,FAO_CRU_NPP,g/m2,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,Climate stations,Productivity,"Grieser, Jürgen, et al. ""World maps of climatological net primary production of biomass, NPP."" Viale delle Terme di Caracalla 153 (2006)."
FAO_World_maps_of_climatological_net_primary_production_of_biomass,FAO NPP based on GPCP,FAO_GPCC_NPP,g/m2,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,Climate stations,Productivity,"Grieser, Jürgen, et al. ""World maps of climatological net primary production of biomass, NPP."" Viale delle Terme di Caracalla 153 (2006)."
FAO_World_maps_of_climatological_net_primary_production_of_biomass,FAO NPP based on GPCP VASClimO,FAO_GPCC_VASClimO_NPP,g/m2,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,Climate stations,Productivity,"Grieser, Jürgen, et al. ""World maps of climatological net primary production of biomass, NPP."" Viale delle Terme di Caracalla 153 (2006)."
FAO_Koeppen_Climatology,FAO GPCC VASClimO Precipitation,FAO_GPCC_VASClimO_Precipitation,mm,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,Climate stations,Precipitation,"Grieser, Jürgen, et al. ""Data sources for FAO worldmaps of Koeppen climatologies and climatic net primary production."" The Agromet Group, SDRN, Food and Agriculture Organization of the United Nations, Rome, Italy (2006)."
FAO_Koeppen_Climatology,FAO CRU Precipitation,FAO_CRU_Precipitation,mm,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,Climate stations,Precipitation,"Grieser, Jürgen, et al. ""Data sources for FAO worldmaps of Koeppen climatologies and climatic net primary production."" The Agromet Group, SDRN, Food and Agriculture Organization of the United Nations, Rome, Italy (2006)."
FAO_Koeppen_Climatology,FAO CRU Temperature,FAO_CRU_Temperature,ºC,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,Climate stations,Temperature,"Grieser, Jürgen, et al. ""Data sources for FAO worldmaps of Koeppen climatologies and climatic net primary production."" The Agromet Group, SDRN, Food and Agriculture Organization of the United Nations, Rome, Italy (2006)."
FAO_Koeppen_Climatology,FAO GPCC Fulldata Precipitation,FAO_GPCC_Fulldata_Precipitation,mm,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,Climate stations,Precipitation,"Grieser, Jürgen, et al. ""Data sources for FAO worldmaps of Koeppen climatologies and climatic net primary production."" The Agromet Group, SDRN, Food and Agriculture Organization of the United Nations, Rome, Italy (2006)."
FAO_Koeppen_Climatology,FAO Aridity index of De Martonne CRU,FAO_Aridity_index_De_Martonne_CRU,Index,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,Climate stations,Drought stress,"Grieser, Jürgen, et al. ""Data sources for FAO worldmaps of Koeppen climatologies and climatic net primary production."" The Agromet Group, SDRN, Food and Agriculture Organization of the United Nations, Rome, Italy (2006)."
FAO_Koeppen_Climatology,FAO Aridity index of De Martonne GPCC Fulldata,FAO_Aridity_index_De_Martonne_GPCC_Fulldata,Index,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,Climate stations,Drought stress,"Grieser, Jürgen, et al. ""Data sources for FAO worldmaps of Koeppen climatologies and climatic net primary production."" The Agromet Group, SDRN, Food and Agriculture Organization of the United Nations, Rome, Italy (2006)."
FAO_Koeppen_Climatology,FAO Aridity index of De Martonne GPCC VASClimO,FAO_Aridity_index_of_De_Martonne_GPCC_VASClimO,Index,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,Climate stations,Drought stress,"Grieser, Jürgen, et al. ""Data sources for FAO worldmaps of Koeppen climatologies and climatic net primary production."" The Agromet Group, SDRN, Food and Agriculture Organization of the United Nations, Rome, Italy (2006)."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Topsoil reference bulk density,HWSD_Topsoil_ref_bulk_dens,kg/dm3,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Topsoil clay fraction,HWSD_Topsoil_clay_fraction,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Topsoil gravel content,HWSD_Topsoil_gravel_content,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Topsoil silt fraction,HWSD_Topsoil_silt_fraction,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Topsoil_sand_fraction,HWSD_Topsoil_sand_fraction,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Topsoil organic carbon,HWSD_Topsoil_organic_carbon,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Topsoil pH,HWSD_Topsoil_pH,#-log(H+),http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Subsoil reference bulk density,HWSD_Subsoil_ref_bulk_dens,kg/dm3,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Subsoil clay fraction,HWSD_Subsoil_clay_fraction,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Subsoil gravel content,HWSD_Subsoil_gravel_content,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Subsoil silt fraction,HWSD_Subsoil_silt_fraction,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Subsoil sand fraction,HWSD_Subsoil_sand_fraction,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Subsoil organic carbon,HWSD_Subsoil_organic_carbon,%,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
FAO_Harmonized_World_Soil_Database_v_1.2,HWSD Subsoil pH,HWSD_Subsoil_pH,#-log(H+),http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,Soil survey,Edaphic,"FAO/IIASA/ISRIC/ISSCAS/JRC, 2012. Harmonized World Soil Database (version 1.2). FAO, Rome, Italy and IIASA, Laxenburg, Austria."
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE),ISRIC WISE Soil carbonate carbon density ,ISRIC_WISE_SoilCarbonate_Carbon_Dens,kg C/m**2 for 0-100cm depth range,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_2,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_2,0.5°,21-Nov-16,Soil survey,Edaphic,"Batjes, N.H. 2000. Global Data Set of Derived Soil Properties, 0.5-Degree Grid (ISRIC-WISE). ORNL DAAC, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/546"
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE),ISRIC WISE  Soil organic carbon density  (0-30 cm depth range),ISRIC_WISE_Soil_Org_Carbon_Dens, kg C/m**2 for 0-100cm depth range,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_6,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_6,0.5°,21-Nov-16,Soil survey,Edaphic,"Batjes, N.H. 2000. Global Data Set of Derived Soil Properties, 0.5-Degree Grid (ISRIC-WISE). ORNL DAAC, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/546"
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE),ISRIC WISE  Soil pH (0-30 cm depth range),ISRIC_WISE_Soil_pH, 0-30 cm depth range,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_3,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_3,0.5°,21-Nov-16,Soil survey,Edaphic,"Batjes, N.H. 2000. Global Data Set of Derived Soil Properties, 0.5-Degree Grid (ISRIC-WISE). ORNL DAAC, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/546"
GLOBAL_DATA_SET_OF_DERIVED_SOIL_PROPERTIES_(ISRIC_WISE),ISRIC WISE  Total available water capacity ,ISRIC_WISE_Total_AvailWater_cap,mm water per 1 m soil depth,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_1,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_1,0.5°,21-Nov-16,Soil survey,Edaphic,"Batjes, N.H. 2000. Global Data Set of Derived Soil Properties, 0.5-Degree Grid (ISRIC-WISE). ORNL DAAC, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/546"
